model,sample_size,seed,setting,eval_index,text,true_label,predicted_label,positive_score,raw_output
Prompt_LLM,5000,100,D1_to_D1,0,/* * @see org.argouml.ui.explorer.rules.PerspectiveRule#getChildren(java.lang.Object) */,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,100,D1_to_D1,1,// TODO // This is faster than many charAt() calls. //,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,100,D1_to_D1,2,// SHAPE,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,100,D1_to_D1,3,// let the persister inspect the instance to decide,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,100,D1_to_D1,4,// add,0,0,,"```python
# No Python code provided"
Prompt_LLM,5000,100,D1_to_D1,5,//TODO: remove use of instanceof!,1,0,,"```python
# TODO: remove use"
Prompt_LLM,5000,100,D1_to_D1,6,/* I guess translated events do not have the 'evt' field set so consuming won't work. I don't think this is a problem as nothing uses translation anyway */,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,100,D1_to_D1,7,//TODO provide proper name?,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,100,D1_to_D1,8,// TODO: Use reflection against the test case to ensure that it // does not import non-ArgoUML classes,1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,100,D1_to_D1,9,// draw the label,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,100,D1_to_D1,10,// invoke the iterator method on the ConstructorArgs // push the ConstructorArgs,0,0,,"```python
def classify_comment(comment:"
Prompt_LLM,5000,100,D1_to_D1,11,/** * The constructor. * TODO: Why does this method not handle all settings? */,1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,100,D1_to_D1,12,// line 1535,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,100,D1_to_D1,13,//--,0,0,,"```python
# No Python code provided"
Prompt_LLM,5000,100,D1_to_D1,14,"// add space for the outer tick labels, if any...",0,0,,"```python
# The final label based"
Prompt_LLM,5000,100,D1_to_D1,15,// TODO: We expect an association end here - // check more carefully? - tfm,1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,100,D1_to_D1,16,/* Set the drop location in the case of D&D: */,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,100,D1_to_D1,17,/* end class ClClassName */,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,100,D1_to_D1,18,// Hack!!! hopefully the FK name will always be the last token!,1,0,,"```python
def classify_comment(comment:"
Prompt_LLM,5000,100,D1_to_D1,19,// no data in the parent plot,0,0,,"```python
NON_SATD"
Prompt_LLM,5000,100,D1_to_D1,20,"// setBackground(UIManager.getColor(""TextField.background""));",0,0,,"```python
# No specific Python code"
