model,sample_size,seed,setting,eval_index,text,true_label,predicted_label,positive_score,raw_output
Prompt_LLM,1500,100,D1_to_D2,0,Did you check against trunk?,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,1,"Actually changes in Hadoop 0.18 now allow HOD to take relative paths on the command line. Likewise, if an incorrect conf is present, the errors are reported back to the client. However, we should document that the tarball should not contain a modified conf, so that users know this proactively. In addition to the above, the following changes are identified after reviewing the bugs fixed for HOD in Hadoop 0.18: - HADOOP-3376: Hyperlink Maui in the documentation, crediting Cluster Resources for the software. Also, Torque and Maui should be capitalized in the documentation. - HADOOP-3464: Add 2 new error scenarios in the trouble shooting section. One should describe the error that comes when ringmaster fails, the other when the jobtracker fails. For the latter, we should mention that administrators can review other log messages in the ringmaster log to see which other machines had problems bringing up the jobtracker, apart from the one that is reported on the command line. - HADOOP-3483: Remove any limitations we have specified about creating a cluster directory. Now, we create it automatically. - HADOOP-3184: Document in the Config guide about parameter.",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,1500,100,D1_to_D2,2,Isn't this pretty much accomplished with submodule registration in 2.3?,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,3,"I saw below running tests on patch: [junit] 1, 1, Errors: 0, 72.628 sec [junit] Test FAILED Do you see same?",0,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,1500,100,D1_to_D2,4,"To get a good HadoopQA result, it will need a patch against trunk. should be The usual convention for names with units is to pluralize the unit, so",0,0,,NON_SATD To determine whether the
Prompt_LLM,1500,100,D1_to_D2,5,"I think it is not necessary to deprecate the constructor of SchedulingInfo. It is a private static inner class and hence nobody should be affected ? It would just add more code to maintain. Can you please submit a new patch removing the deprecation and just changing the api ? Please also remember to remove the checks for null in the toString method, as the object is not expected to be null after this change. BTW, I spoke to Amar about this and we agree on this point now.",1,1,,"SATD

Explanation: The comment explicitly"
Prompt_LLM,1500,100,D1_to_D2,6,"I really like to have Windows port within next Thrift release. The suggestion by [David and to use APR on Windows and do minimal changes on the current implementation is a key factor to bring this up and running. However, this patch depends on pthreads for windows and as mentioned on the dev mailing list or within Jira = Is APR feasible for your? Do you really need thet libevent version? Most GNU/Linux distro still provide 1.4.x and I would really like to keep capability to build and use thrift without lot of extra versions of libraries not within a standard distribution.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,7,"From Mon Sep 17 00:00:00 2001 From: Adam Simpkins Thu, 4 Mar 2010 00:53:37 +0000 Subject: [PATCH 07/33] thrift: always prefix namespaces with "" ::"" Summary: Thrift always refers to namespaces using their full name. Therefore, it should prefix them with ""::"" to avoid accidentally matching a name defined in one of the current namespaces, rather than at the top-level. For example, if ServiceB is in namespace bar, and inherits from ServiceA in namespace foo, all code emitted for ServiceB now refers to ServiceA as ::foo::ServiceA instead of just foo::ServiceA. This allows the code to compile even if a namespace ::bar::foo also exists. An extra leading whitespace is also emitted, which is needed in cases when the name is used as the first template parameter, so that the emitted code contains ""< ::"" instead of ""<::"". Test Plan: jsong reported a build problem because of this name lookup error, and this change fixed his build. I also tested building [internal fb thing] and [internal fb thing], and they both built successfully. Tags: thrift | 11 +++++++++-- 1 files changed, 9 insertions(+), 2 deletions(-)",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,1500,100,D1_to_D2,8,"This proposal outlines an improvement to HBase that provides for a set of types, above and beyond the existing ""byte-bucket"" strategy. This is intended to reduce user-level duplication of effort, provide better support for 3rd-party integration, and provide an overall improved experience for developers using HBase.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,9,"Patches were too broad and have gone stale. Will address these forms of issue over separate, smaller and more divided JIRAs in future. Closing out parent JIRA MAPREDUCE-4172, and hence closing out this.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,10,I can confirm Ctrl-T is blocked in Firefox when the focus is on the text in the diff view. It works when the focus is on the bottom or top of the page.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,11,"Yes, I think, continuing without SplitLogWroker may not be a good behaviour. Because that particular regionServer may have more capacity to take up the new regions. With the current behaviour it may not compete for taking any new splilog work. I feel we can retry for some times and then we can shutdown regionServer? or other option is to retry forever on any ZK exception. And can exit only on interrupted exception. Also i am seeing this issue may be bit dangerous bacause, if ZK is not available for some time, all RegionServer may face this problem and no one will take up the splitlog work. will return null only if node does not exist. If it is not able to find any children then it will return empty list. So, will be always set. On Other keeperExceptions like ZK unavalability and all, we have to handle.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,12,I think we can close this issue.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,13,I'm confused. We don't want to close the connection. We want to keep it open for potential future requests.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,14,1. how to get the context of the client when on a rpc call in server side? 2. how to bind the socket to the ip specified in a multiple NIC environment? 3. does thrift support message reflections in c++?,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,15,"The API you are suggesting to use is marked deprecated below in the patch, So we should suggest to use in the first place also. also There is reference to this method in java doc of other public APIs to use this one, I suggest to remove their also and point it to actual API we would like user to use. General practice what I follow is when ever I mark a API as deprecated I replace all of its reference from the code with the one we are suggesting to use in the java doc. If you also want to do this please also take care of the references in ruby scripts...",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,16,camel-cxfrs need to store the security context information into the message header,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,17,"Yes, agree.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,18,"Sure it is. Even if it is not, I don't think its a good practice to silently break the contract because we think the contract is not used (yet), (especially for widely used interfaces like Writables) Example use: returns {{LocatedBlocks}}, if you trace its implementation, you will see that LocatedBlock is created using DatanodeDescriptor (around .. so etc do get called out side of FSEditLog.",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,1500,100,D1_to_D2,19,Batch update: More fuzzy classification of security bugs not affecting stable.,0,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,1500,100,D1_to_D2,20,FYI.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,21,"Thanks for the patch Justin, committed",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,22,"While poking into the IDL syntax, I found that hidden gem: While thinking whether I should do sth about it, I came to the conclusion that the time ist right to ""_Get rid of this_"" since today probably really ""_everyone is using the new hotness_"", as the comments say. Opinions? If there are no objections, I'll provide a patch to convert the warnings into an error and remove the rest of it.",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,1500,100,D1_to_D2,23,"The assert looks a little silly. Without it, we return null and just do not split the region?",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,24,"Per IRC chat with Bryan Duxbury, the deserializer should skip over list fields (presumably also sets, maps) with unexpected element types, but should keep trying to parse the rest of the struct.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,25,"With the fix for KUDU-2228, the was retired in KRPC. We would ideally like to have it configurable, so we can add a flag from the Impala side to control that.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,26,100118: Tab crashes when pausing script.,0,1,,"SATD

Explanation:
The comment """
Prompt_LLM,1500,100,D1_to_D2,27,"There is a dead lock. NettyRpcServer.stop is synchronized, and in the method, we will wait until all the connections to be closed. And one of the event loop thread calls RpcServer.authorize which is also synchronized, so it is blocked there and never returns back since we have already locked when calling The master thread. The event loop thread.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,28,"I would prefer to keep a real 'small tests' category. Sharing the JVM for small tests saves us from a lot of fork and makes tests faster. As we're supposed to have more and more tests, I would love to have more and more *small* tests. The setting to use with newer surefire version is 'reuseFork'. last time I checked, test methods and categories were buggy, but may be it has been fixed. Would it work to: - use an exclusion group fo 'Flaky' Category - add a profile to run only the 'Flaky' You said previously that you need as well to convert the old test cases extending TestCase. May be this could be done in a separate JIRA?",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,1500,100,D1_to_D2,29,I thought you'd attach the patch to this jira. I assume though that you meant us to pick up the version from github per your,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,30,20118: Typing a colon (:) into the address bar causes the browser to freeze,0,1,,"SATD

Explanation:
The comment """
Prompt_LLM,1500,100,D1_to_D2,31,"If the ugi is not found in conf, it will login for any file system. For better performance, a LOGIN_UGI will be stored in So actual login is done only once.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,32,There is just too much intermodule coupling to do this properly without breaking encapsulation.,1,1,,"SATD

Explanation: The comment explicitly"
Prompt_LLM,1500,100,D1_to_D2,33,trunk: 988435. Thanks for the patch Lorrin.,0,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,1500,100,D1_to_D2,34,Agreed on all counts. Error on the page that points to docs sounds wonderful and definitely something to improve for later rather than blocking the release.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,1500,100,D1_to_D2,35,43196: Log spew: “Not implemented reached in virtual void,1,0,,"```python
def classify_comment(comment):"
Prompt_LLM,1500,100,D1_to_D2,36,The easiest way to see this is to blacklist a thumbnail (you can always undo it). I saw this cramped UI when I fixed the regression but I didn't want to add more whitespace to the top of the page in that CL. I apologize for not following up on this.,0,0,,"NON_SATD

Explanation: The"
