model,sample_size,seed,setting,eval_index,text,true_label,predicted_label,positive_score,raw_output
Prompt_LLM,5000,13,D1_to_D1,0,// FIXME: set up a call configuration for this,1,0,,"```python
# The comment ""FIXME"
Prompt_LLM,5000,13,D1_to_D1,1,// TODO: multiplicity checks,1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,13,D1_to_D1,2,// an empty dataset should return a null range,0,0,,"```python
""NON_SATD"
Prompt_LLM,5000,13,D1_to_D1,3,// not needed,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,13,D1_to_D1,4,// todo : add support for READ_WRITE ( + NONSTRICT_READ_WRITE ??? ),1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,13,D1_to_D1,5,"// TODO: This shouldn't know the internal form of type names, // but I'm not sure what GEF's PredicateType does, so I'm fixing it // here - tfm",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,13,D1_to_D1,6,// EATM This might be better written as a single loop for the EObject case? //,1,0,,"NON_SATD
To determine whether"
Prompt_LLM,5000,13,D1_to_D1,7,// TODO: Move to GEF,1,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,13,D1_to_D1,8,// TODO: Make sure this shouldn't go into a previous // condition -tml,1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,13,D1_to_D1,9,// TODO: This should listen for file save events - tfm,1,0,,"```python
NON_SATD"
Prompt_LLM,5000,13,D1_to_D1,10,// convert file text into a string // Special case: some systems tack a newline at the end of // the text read. Assume that if last char is a newline that // we want everything else in the line.,0,0,,"```python
# Convert file text to"
Prompt_LLM,5000,13,D1_to_D1,11,// make array of exceptions,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,13,D1_to_D1,12,// TODO: Is this removed from UML2 ?,1,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,13,D1_to_D1,13,"// TODO: ActionState, CallState, and SubactivityState have been replaced // in UML 2.0 by explicitly modeled Actions",1,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,13,D1_to_D1,14,// TODO: Do we want isaUMLElement here?,1,0,,"```python
# The provided text is"
Prompt_LLM,5000,13,D1_to_D1,15,// Give up if we are already on the graph. This is a bit inconistent // with canAddNode above.,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,13,D1_to_D1,16,// first search for appropriate attributes,0,0,,"```python
def classify_comment(comment):"
Prompt_LLM,5000,13,D1_to_D1,17,// Helper Methods,0,0,,"```python
def classify_comment(comment:"
Prompt_LLM,5000,13,D1_to_D1,18,// TODO: don't require pop,1,0,,"```python
# The provided Python code"
Prompt_LLM,5000,13,D1_to_D1,19,/* * @see org.tigris.gef.presentation.FigEdge#setFig(org.tigris.gef.presentation.Fig) */,0,0,,"**NON_SATD**

Explanation:"
Prompt_LLM,5000,13,D1_to_D1,20,// TODO: Allow other configuration handlers.,1,0,,"```python
# The provided text is"
Prompt_LLM,5000,13,D1_to_D1,21,// SSS FIXME: To be done,1,0,,"NON_SATD

Explanation:
The"
