model,sample_size,seed,setting,eval_index,text,true_label,predicted_label,positive_score,raw_output
Prompt_LLM,5000,21,D1_to_D2,0,"1. Open Chrome in RTL locales. 2. open page 3. click [New Tab] to show the [New Tab Page] which contains &quot;most visited&quot; , &quot;recent bookmarks&quot; etc. 4. Observe the underline under page title &quot;MSN Arabia رياضه، أخبار، مرآة، أفلام، موسيقى، جمال، سيارات، اقتصاد و المزيد على&quot; The underline only unders the very left part of the title. Underline should under all the text of the title. Please use labels and text to provide additional information. Looks like the problem only happens in RTL locales when the title is truncated from the left.",1,0,,"**SATD**

Explanation: The comment"
Prompt_LLM,5000,21,D1_to_D2,1,"HBASE-14045 updated the thrift version, but our enforcer rule is still checking 0.9.0.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,2,"Look the pixel tests results for The result has a reference image and a produeced image. the produced image does not have a uniform line-thinkness, and the polygon is not continuous (corners of the lower left rectangle are disconnected). See attached image.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,3,miscalculates append/sync statistics for multiple regions,0,1,,"SATD

Explanation: The comment """
Prompt_LLM,5000,21,D1_to_D2,4,"I don't think anyone has picked that up due to a lack of time - I agree it would be good to get in but I think parts of that patch require deeper understanding than this subset, which is fairly mechanical cleanup. Separating this out would shrink that patch and I think make it easier to focus on the meat of it.",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,5,Hi Folks. The suggestions here have convinced me that the place to do this is over in Nutch as it is certainly application specific and just causing too much overhead in Hadoop. The text is not required in-memory within the Hadoop Configuration object.,1,0,,"NON_SATD

Explanation: This"
Prompt_LLM,5000,21,D1_to_D2,6,nan,0,0,,"```python
None
```

Explanation"
Prompt_LLM,5000,21,D1_to_D2,7,I raised SMX4-736 about that and I'm fixing it right now.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,8,", this JIRA is associated with a disabled test in analytic-fns.test. Are you suggesting we should enable that test again? Or perhaps we should rephrase this JIRA?",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,9,"This seems to be the only way I could find to do this other than implementing this component as a polling consumer, let me know though if that'd be preferred.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,10,patch uses the hadoop.profile=2.0 trick to do the precommit run against hadoop2.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,11,Abort service if statestore subscriber heartbeat_server_ fails to start successfully,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,12,"+1 for the patch. I built a distro locally with the patch and confirmed that I can run the commands on Windows. I'll commit this now. Converting to CRLF has worked for me in the past, so I'm not sure what's wrong. There have been some changes in the Jenkins automation, so I'll have to review that another time.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,13,Maybe you mean issue 7982 ?,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,14,I encountered some error submitting review comments on review board. The following two new methods can be declared package private: Can we use MapMaker from Guava so that we don't need to introduce WeakValueMapping class ? See for an example.,0,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,21,D1_to_D2,15,"This is re-synced to current head, and NOT a superset of any other patch (except it includes the import length from Prelude fix, since it's impossible to compile code without it). It also fixes a few uses of ""fromInteger $ toInteger"" in v1, and uses fromIntegral instead.",0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,16,"This is fixed in however, I'm waiting for us to rebase on the latest Hive bits in order to commit a test for it",1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,17,"The following query on a relatively small input takes ~70s with codegen and ~35 minutes without codegen, which seems unreasonably long. We should make sure we're not doing anything crazy in the non-codegen eval path. Executing with codegen: The query profile when running without codegen is attached. I also used perf (linux profiling tool) to collect a profile (sampled stacks) and printed the aggregated callstacks to the attached file The summary without codegen. Most of the time (28mins) is spent in the hash joins:",1,0,,"NON_SATD

Explanation:
This"
Prompt_LLM,5000,21,D1_to_D2,18,Applied patch with thanks to Dan. I also updated the org.apache.abdera package import version range and added the java mail bundle dependency to the camel-atom feature.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,19,"The latest build of DMD leads to the effect, that idlgen will not get compiled. The compiler get stuck at nearly 100% CPU. The problem has been confirmed by",0,0,,"```python
SATD
```"
Prompt_LLM,5000,21,D1_to_D2,20,scherkus can you take a look?,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,21,86392: Maximizing the screen by holding scroll bar - displays a blue area as displayed in the screen shot.,0,0,,"NON_SATD

Explanation:
The"
Prompt_LLM,5000,21,D1_to_D2,22,Proper Documentation for Thrift C Glib,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,23,Same problem. Only starts on anonymous browsing,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,24,I think was fixed by be43be64. Unfortunately its not yet deployed on our server.,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,25,In {{hbase-rest}} Checkstyle reports a lot of violations. The remaining violations in the tests should be fixed.,1,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,26,behavior of Java and CPP Testframework should be the same,0,0,,"NON_SATD

Explanation: The"
Prompt_LLM,5000,21,D1_to_D2,27,"The precision is lost when converting double to string. E.g: double PI = 3.1415926535897931; string value = format(""%.16g"", PI); The value will be '3.141592653589793' and last 1 is lost after format operation. But expected value should be Solution: string value = format(""%.17g"", PI);",1,0,,"NON_SATD

Explanation:
This"
Prompt_LLM,5000,21,D1_to_D2,28,68408: Chrome does not start Audible download manager,0,0,,"NON_SATD

Explanation:
The"
