text,label
// FIXME formatters are not thread-safe,1
"// XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may // not be strictly true. wrapper.maybeConfigure() won't configure the same // attributes/text more than once, but it may well add the children again, // unless I've missed something.",1
"// I hate to admit it, but we don't know what happened // here. Throw the Exception.",1
"// Just a note: StarTeam has a status for NEW which implies // that there is an item on your local machine that is not // in the repository. These are the items that show up as // NOT IN VIEW in the Starteam GUI. // One would think that we would want to perhaps checkin the // NEW items (not in all cases! - Steve Cohen 15 Dec 2001) // Unfortunately, the sdk doesn't really work, and we can't // actually see anything with a status of NEW. That is why // we can just check out everything here without worrying // about losing anything.",1
// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??,1
// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,1
"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows",1
// pattern now holds ** while string is not exhausted // this will generate false positives but we can live with that.,1
"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?",1
// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...,1
// check first that it is not already loaded otherwise // consecutive runs seems to end into an OutOfMemoryError // or it fails when there is a native library to load // several times. // this is far from being perfect but should work // in most cases.,1
"// TODO: // A warning line, that shows code, which contains a variable // error will cause some trouble. The parser should definitely // be much better.",1
// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,1
"/** XXX I really don't like this - the XML processor is still * too 'involved' in the processing. A better solution (IMO) * would be to create UE for Project and Target too, and * then process the tree and have Project/Target deal with * its attributes ( similar with Description ). * * If we eventually switch to ( or add support for ) DOM, * things will work smoothly - UE can be avoided almost completely * ( it could still be created on demand, for backward compatibility ) */",1
// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.,1
// XXX ignore attributes in a different NS ( maybe store them ? ),1
//borrowed from TokenFilterTest,1
// XXX Move to Project ( so it is shared by all helpers ),1
// What is the property supposed to be?,1
"// PR: Hack for ant-type value // an ant-type is a component name which can // be namespaced, need to extract the name // and convert from qualified name to uri/name",1
// there's a convenient xsltc class version but data are // private so use package information,1
// stolen from org.apache.xerces.impl.XMLEntityManager#getUserDir() // of the Xerces-J team // which ASCII characters need to be escaped,1
// bingo append it. (this should normally not be done here),1
// This is faintly ridiculous:,1
//cannot remove underscores due to protected visibility >:(,1
"// TODO not read, yet in a public setter",1
// PR: I do not know what to do if the object class // has multiple defines // but this is for logging only...,1
// not sure what could be the need of this...,1
// XXX: (Jon Skeet) Any reason for writing a message and then using a bare // RuntimeException rather than just using a BuildException here? Is it // in case the message could end up being written to no loggers (as the // loggers could have failed to be created due to this failure)?,1
"// Experimental/Testing, will be removed",1
// XXX should instead make a new ProtectionDomain with a CodeSource // corresponding to container.toURI().toURL() and the same // PermissionCollection as Project.class.protectionDomain had,1
//this is really irritating; we need a way to set stuff,1
//XXX // All this to convert source to destination directory according // to weblogic standards Can be written better... this is too hacky!,1
//silly hack to avoid stack overflow...,1
"// -------------------- Access to property tables -------------------- // This is used to support ant call and similar tasks. It should be // deprecated, it is possible to use a better (more efficient) // mechanism to preserve the context.",1
// XXX - should throw an exception instead?,1
// Temporary - until we figure a better API,1
"// There is a better way to save the context. This shouldn't // delegate to next, it's for backward compatibility only.",1
// quick fix for Ant.java use of property before // initializing the project,1
// XXX: we should use JCVS (www.ice.com/JCVS) instead of // command line execution so that we don't rely on having // native CVS stuff around (SM),1
/* * two reasons are mentioned in the API docs for File.list * (1) dir is not a directory. This is impossible as * we wouldn't get here in this case. * (2) an IO error occurred (why doesn't it throw an exception * then???) */,1
