text,label
https://github.com/ps3mediaserver/ps3mediaserver/blob/348ff78a17ab0a207b85ce7d73a468d852011fc4/pom.xml#L85,1
https://github.com/yegor256/netbout/blob/e709e0d5ddb2a8ed90e025f9885f085dc8e93ad1/netbout-client/pom.xml#L199,1
https://github.com/yegor256/netbout/blob/e709e0d5ddb2a8ed90e025f9885f085dc8e93ad1/netbout-web/pom.xml#L603,1
https://github.com/yegor256/netbout/blob/e709e0d5ddb2a8ed90e025f9885f085dc8e93ad1/netbout-client/pom.xml#L191,1
https://github.com/codice/ddf/blob/6abc58070c3ce38761070f4ef06c509dd584555e/catalog/transformer/catalog-transformer-pptx/pom.xml#L195,1
https://github.com/apache/felix/blob/437f0ee97c44ea0141c6cdaa6cdf5b200e3a5ff8/jmood/pom.xml#L104,1
https://github.com/OpenGrok/OpenGrok/blob/9ce52a219b9e5772102d1fdfcfd7c3c672a332b4/opengrok-indexer/pom.xml#L339,1
https://github.com/broadgsa/gatk-protected/blob/aa8764d6c3de146856b174a8674fa787a6311d7c/pom.xml#L268,1
https://github.com/cismet/verdis/blob/c7ebb466bcbc8952a2153cae5994e289dfd47d03/pom.xml#L560,1
https://github.com/apache/stanbol/blob/2fcf471b467fb84e59491f4c54ba0a95924ab04a/data/sites/dbpedia/pom.xml#L120,1
https://github.com/apache/stanbol/blob/2fcf471b467fb84e59491f4c54ba0a95924ab04a/data/sites/entity-coref-dbpedia/pom.xml#L115,1
https://github.com/apache/stanbol/blob/2fcf471b467fb84e59491f4c54ba0a95924ab04a/data/opennlp/ner/en/pom.xml#L105,1
https://github.com/hopshadoop/hops/blob/52957d185cf96136712b00bee99839df49d2506c/hadoop-common-project/hadoop-common/pom.xml#L484,1
https://github.com/griddynamics/yhadoop-common/blob/9f7dc6aeeb95f3ccc5b11359bdeead0e7437999d/hadoop-common-project/hadoop-common/pom.xml#L412,1
https://github.com/apache/royale-compiler/blob/522cd0ef61a11474cf80578f7f317cc9354b9be1/pom.xml#L361,1
https://github.com/capitalone/Hygieia/blob/661e59bf62073026206626fb4fee6bb26b70e5a7/hygieia-jenkins-plugin/pom.xml#L81,1
https://github.com/opendaylight/bgpcep/blob/310f15691a6235382a40320faaca6e5a6e3a4484/pcep/ietf-stateful07/pom.xml#L66,1
https://github.com/apache/storm/blob/b48e10559b65e834884d59887b30fc86d2988c20/pom.xml#L375,1
https://github.com/resteasy/Resteasy/blob/63862e7e5b109d56227a9450fd1dc209cc926597/resteasy-core-spi/pom.xml#L67,1
https://github.com/batfish/batfish/blob/2529813609dd406ff2d708e8296374a6824df213/projects/batfish/pom.xml#L67,1
https://github.com/broadgsa/gatk/blob/41147a655594c2aae6e2cad8462bd1648570b32b/public/package-tests/pom.xml#L63,1
https://github.com/RWTH-i5-IDSG/steve/blob/21cfb52f48b7977dd48235677c5eccb2672d2e9f/pom.xml#L269,1
https://github.com/hawtio/hawtio/blob/1538c3e9fb2ed76bacea75fe90a6028d9d6dfcab/pom.xml#L286,1
https://github.com/jboss-fuse/fabric8/blob/0ef78edb8a2706c8b66cbe631ec0993d450b079f/security/pom.xml#L40,1
https://github.com/google/closure-compiler/blob/3eab35a00c42646b44f9cd06ddd6cc15919dacca/pom.xml#L86,1
